p_mtorr,Te_eV,f_ion,n_m3,lam,gam,gamma_c,gam_over_gc,t_pen_periods,t_pen_ms
56.23413251903491,4.728708045015879,0.0001,1.821309377367213e+17,12.562671065832847,328.792092990938,17.541928927356906,18.743212012344987,2.981521821065307,0.01192608728426123
56.23413251903491,4.728708045015879,0.001,1.821309377367213e+18,13.191730366755696,36.25441647973871,18.567157834146172,1.952609914968491,14.188488062723714,0.05675395225089486
56.23413251903491,4.728708045015879,0.01,1.821309377367213e+19,13.925858661572343,4.0401859472090935,19.77064914992054,0.2043527208728668,inf,inf
56.23413251903491,4.728708045015879,0.1,1.8213093773672133e+20,14.797990973950952,0.4562080074076426,21.210259989458606,0.021508836178074937,inf,inf
56.23413251903491,4.728708045015879,1.0,1.821309377367213e+21,15.8576017102654,0.05238806996838536,22.97369243195995,0.002280350454048278,inf,inf
56.23413251903491,10.0,1e-06,1821309377367213.0,19.49499883111234,79177.87002944863,29.142978269835258,2716.876404886954,0.5803387392761342,0.002321354957104537
56.23413251903491,10.0,1e-05,1.8213093773672132e+16,20.246979584222736,8540.393424611044,30.43984669839397,280.5662429653971,1.9510493778931999,0.0078041975115727994
56.23413251903491,10.0,0.0001,1.821309377367213e+17,21.093280545014096,926.9272405806387,31.90779670804428,29.050180088020646,6.6851409262346015,0.026740563704938408
56.23413251903491,10.0,0.001,1.821309377367213e+18,22.055425848468314,101.34172275928373,33.58728248153358,3.0172647285472354,27.254585637217232,0.10901834254886893
56.23413251903491,10.0,0.01,1.821309377367213e+19,23.16251016216471,11.177087050116274,35.53339060633521,0.3145516613920745,inf,inf
56.23413251903491,10.0,0.1,1.8213093773672133e+20,24.455006624434176,1.245928032367814,37.823377957678524,0.03294068641256506,inf,inf
56.23413251903491,10.0,1.0,1.821309377367213e+21,25.991212100575826,0.14073770159061164,40.56954335401069,0.003469048206003491,inf,inf
100.0,0.5,1e-06,3238796965082925.0,2.468660844758727,713.9704627141696,2.7649001461297744,258.2264910049516,0.030238145114968636,0.00012095258045987455
100.0,0.5,1e-05,3.2387969650829256e+16,2.608811445163793,79.73385643161306,2.9218688185834485,27.28865030643944,0.10563099567737357,0.00042252398270949424
100.0,0.5,0.0001,3.2387969650829254e+17,2.775907673653641,9.027498449269896,3.1090165944920782,2.903650776667766,0.4444332374408446,0.0017777329497633786
100.0,0.5,0.001,3.2387969650829256e+18,2.979862154110295,1.0402787724111409,3.337445612603531,0.31169909360698844,inf,inf
100.0,0.5,0.01,3.2387969650829255e+19,3.236580916972575,0.12272423284157648,3.6249706270092847,0.033855235109264276,inf,inf
100.0,0.5,0.1,3.2387969650829256e+20,3.573605372624384,0.014961342752466952,4.00243801733931,0.003738057325972724,inf,inf
100.0,0.5,1.0,3.2387969650829254e+21,4.043985552091244,0.001915916502834775,4.529263818342193,0.0004230083695005519,inf,inf
100.0,1.057371263440564,1e-06,3238796965082925.0,4.1239070752004805,1992.393558513717,4.618775924224539,431.36830866031374,0.06523606182586923,0.00026094424730347695
100.0,1.057371263440564,1e-05,3.2387969650829256e+16,4.334662848945984,220.12432377477487,4.854822390819503,45.34137524598865,0.22454128509795013,0.0008981651403918005
100.0,1.057371263440564,0.0001,3.2387969650829254e+17,4.5814292987959595,24.590047368959322,5.131200814651475,4.7922597959420425,0.8577151334159422,0.003430860533663769
100.0,1.057371263440564,0.001,3.2387969650829256e+18,4.875787550684994,2.7851393924505103,5.460882056767194,0.5100163972593275,inf,inf
100.0,1.057371263440564,0.01,3.2387969650829255e+19,5.235308226800091,0.32110117811977373,5.863545214016102,0.05476229250389676,inf,inf
100.0,1.057371263440564,0.1,3.2387969650829256e+20,5.688230370056722,0.03790633017542611,6.370818014463529,0.005949994190599731,inf,inf
100.0,1.057371263440564,1.0,3.2387969650829254e+21,6.283555730854771,0.004625602726032085,7.037582418557345,0.0006572715530598789,inf,inf
100.0,2.23606797749979,1e-06,3238796965082925.0,6.918715799159537,5608.004719278051,8.405397859752512,667.1908710152566,0.14758485067831953,0.0005903394027132781
100.0,2.23606797749979,1e-05,3.2387969650829256e+16,7.240219232682826,614.1307185417303,8.971815731172011,68.45110699364585,0.5079243443866249,0.0020316973775464995
